#PARAMETRY: 
Nazwa testu;AB
Data testu;2019-6-15_11:44:47
Protokol;UDP (0)
Rozmiar pakietu;1000
#POMIARY: 
No;zadana_przeplywnosc;polozenie;poziom_sygnalu;jakosc_linku;odebrane_pakiety;przeplywnosc;stracone_pakiety;flaga_zamiany;flaga_bledu;ber;kanal;przepustowosc_kanalu;szerokosc_kanalu;MCS;NSS;SGI
1;200;100.000000;-39;70;29419;235.352000;5;false;true;100.000000;44 (5220 MHz);390.000000;80;8;1;true
2;200;100.000000;-39;70;22125;177.000000;0;false;false;100.000000;44 (5220 MHz);390.000000;80;8;1;true
3;200;108.909750;-39;70;26327;210.616000;0;false;false;100.000000;44 (5220 MHz);390.000000;80;8;1;true
4;200;127.632000;-39;70;25248;201.984000;0;false;false;100.000000;44 (5220 MHz);390.000000;80;8;1;true
5;200;139.524750;-39;70;24725;197.800000;0;false;false;100.000000;44 (5220 MHz);390.000000;80;8;1;true
6;200;156.598500;-39;70;25450;203.600000;0;false;false;100.000000;44 (5220 MHz);390.000000;80;8;1;true
7;200;165.626000;-39;70;24800;198.400000;0;false;false;100.000000;44 (5220 MHz);390.000000;80;8;1;true
8;200;165.626000;-41;69;24998;199.984000;0;false;false;100.000000;44 (5220 MHz);390.000000;80;8;1;true
9;200;165.626000;-42;68;25376;203.008000;0;false;false;100.000000;44 (5220 MHz);390.000000;80;8;1;true
10;200;165.626000;-38;70;24826;198.608000;0;false;false;100.000000;44 (5220 MHz);390.000000;80;8;1;true
11;200;165.626000;-38;70;25224;201.792000;0;false;false;100.000000;44 (5220 MHz);390.000000;80;8;1;true
12;200;165.626000;-38;70;25026;200.208000;0;false;false;100.000000;44 (5220 MHz);390.000000;80;8;1;true
13;200;165.626000;-45;65;24875;199.000000;0;false;false;100.000000;44 (5220 MHz);390.000000;80;8;1;true
14;200;165.626000;-45;65;24950;199.600000;0;false;false;100.000000;44 (5220 MHz);390.000000;80;8;1;true
15;200;165.626000;-45;65;25600;204.800000;0;false;false;100.000000;44 (5220 MHz);390.000000;80;8;1;true
16;200;165.626000;-45;65;24650;197.200000;0;false;false;100.000000;44 (5220 MHz);390.000000;80;8;1;true
17;200;165.626000;-45;65;25300;202.400000;0;false;false;100.000000;44 (5220 MHz);390.000000;80;8;1;true
18;200;165.626000;-45;65;24925;199.400000;0;false;false;100.000000;44 (5220 MHz);390.000000;80;8;1;true
