#PARAMETRY: 
Nazwa testu;ABCD
Data testu;2019-6-15_11:53:27
Protokol;UDP (0)
Rozmiar pakietu;1000
#POMIARY: 
No;zadana_przeplywnosc;polozenie;poziom_sygnalu;jakosc_linku;odebrane_pakiety;przeplywnosc;stracone_pakiety;flaga_zamiany;flaga_bledu;ber;kanal;przepustowosc_kanalu;szerokosc_kanalu;MCS;NSS;SGI
1;100;100.000000;-33;70;14890;119.120000;0;false;true;100.000000;11 (2462 MHz);1.000000;20;0;0;false
2;100;100.000000;-33;70;11136;89.088000;0;false;false;100.000000;11 (2462 MHz);1.000000;20;0;0;false
3;100;100.000000;-33;70;13080;104.640000;0;false;false;100.000000;11 (2462 MHz);1.000000;20;0;0;false
4;100;100.000000;-33;70;12816;102.528000;0;false;false;100.000000;11 (2462 MHz);1.000000;20;0;0;false
5;100;100.000000;-33;70;12180;97.440000;0;false;false;100.000000;11 (2462 MHz);1.000000;20;0;0;false
6;100;100.000000;-33;70;12624;100.992000;0;false;false;100.000000;11 (2462 MHz);1.000000;20;0;0;false
7;100;100.000000;-33;70;12696;101.568000;0;false;false;100.000000;11 (2462 MHz);1.000000;20;0;0;false
8;100;100.000000;-45;65;12504;100.032000;0;false;false;100.000000;11 (2462 MHz);72.199997;20;0;0;true
9;100;100.000000;-40;70;12492;99.936000;0;false;false;100.000000;11 (2462 MHz);72.199997;20;0;0;true
10;100;100.000000;-40;70;12596;100.768000;41;false;true;100.000000;11 (2462 MHz);72.199997;20;0;0;true
11;100;100.000000;-40;70;12420;99.360000;0;false;false;100.000000;11 (2462 MHz);72.199997;20;0;0;true
12;100;100.000000;-40;70;12600;100.800000;0;false;false;100.000000;11 (2462 MHz);72.199997;20;0;0;true
13;100;100.000000;-34;70;12696;101.568000;0;false;false;100.000000;11 (2462 MHz);1.000000;20;0;0;false
14;100;100.000000;-34;70;12456;99.648000;0;false;false;100.000000;11 (2462 MHz);1.000000;20;0;0;false
15;100;100.000000;-34;70;12408;99.264000;0;false;false;100.000000;11 (2462 MHz);1.000000;20;0;0;false
16;100;100.000000;-45;65;12864;102.912000;0;false;false;100.000000;11 (2462 MHz);72.199997;20;0;0;true
17;100;100.000000;-45;65;12288;98.304000;0;false;false;100.000000;11 (2462 MHz);72.199997;20;0;0;true
18;100;100.000000;-45;65;12768;102.144000;0;false;false;100.000000;11 (2462 MHz);72.199997;20;0;0;true
19;100;100.000000;-45;65;12516;100.128000;0;false;false;100.000000;11 (2462 MHz);72.199997;20;0;0;true
20;100;100.000000;-28;70;12444;99.552000;0;false;false;100.000000;11 (2462 MHz);72.199997;20;0;0;true
21;100;100.000000;-29;70;12828;102.624000;0;false;false;100.000000;11 (2462 MHz);72.199997;20;0;0;true
22;100;100.000000;-29;70;12336;98.688000;0;false;false;100.000000;11 (2462 MHz);72.199997;20;0;0;true
23;100;100.000000;-42;68;12528;100.224000;0;false;false;100.000000;11 (2462 MHz);72.199997;20;0;0;true
24;100;100.000000;-42;68;12792;102.336000;0;false;false;100.000000;11 (2462 MHz);72.199997;20;0;0;true
25;100;100.000000;-43;67;12372;98.976000;0;false;false;100.000000;11 (2462 MHz);72.199997;20;0;0;true
26;100;100.000000;-43;67;12456;99.648000;0;false;false;100.000000;11 (2462 MHz);72.199997;20;0;0;true
27;100;100.000000;-43;67;12804;102.432000;0;false;false;100.000000;11 (2462 MHz);72.199997;20;0;0;true
28;100;100.000000;-43;67;12408;99.264000;0;false;false;100.000000;11 (2462 MHz);72.199997;20;0;0;true
29;100;100.000000;-43;67;12636;101.088000;0;false;false;100.000000;11 (2462 MHz);72.199997;20;0;0;true
30;100;100.000000;-43;67;12552;100.416000;0;false;false;100.000000;11 (2462 MHz);72.199997;20;0;0;true
31;100;100.000000;-43;67;12588;100.704000;0;false;false;100.000000;11 (2462 MHz);72.199997;20;0;0;true
32;100;100.000000;-43;67;12396;99.168000;0;false;false;100.000000;11 (2462 MHz);72.199997;20;0;0;true
33;100;100.000000;-43;67;12864;102.912000;0;false;false;100.000000;11 (2462 MHz);72.199997;20;0;0;true
34;100;100.000000;-43;67;12396;99.168000;0;false;false;100.000000;11 (2462 MHz);72.199997;20;0;0;true
35;100;100.000000;-75;35;12552;100.416000;0;false;false;100.000000;11 (2462 MHz);1.000000;20;0;0;false
36;100;100.000000;-75;35;12444;99.552000;0;false;false;100.000000;11 (2462 MHz);1.000000;20;0;0;false
37;100;100.000000;-76;34;12744;101.952000;0;false;false;100.000000;11 (2462 MHz);1.000000;20;0;0;false
38;100;100.000000;-76;34;12300;98.400000;0;false;false;100.000000;11 (2462 MHz);1.000000;20;0;0;false
39;100;100.000000;-79;31;12780;102.240000;0;false;false;100.000000;11 (2462 MHz);26.000000;20;0;0;false
40;100;100.000000;-78;32;12372;98.976000;0;false;false;100.000000;11 (2462 MHz);19.500000;20;0;0;false
41;100;100.000000;-79;31;12648;101.184000;0;false;false;100.000000;11 (2462 MHz);19.500000;20;0;0;false
42;100;100.000000;-79;31;12552;100.416000;0;false;false;100.000000;11 (2462 MHz);19.500000;20;0;0;false
43;100;100.000000;-79;31;12408;99.264000;0;false;false;100.000000;11 (2462 MHz);19.500000;20;0;0;false
44;100;100.000000;-76;34;12804;102.432000;0;false;false;100.000000;11 (2462 MHz);1.000000;20;0;0;false
45;100;100.000000;-76;34;12432;99.456000;0;false;false;100.000000;11 (2462 MHz);1.000000;20;0;0;false
46;100;100.000000;-76;34;12468;99.744000;0;false;false;100.000000;11 (2462 MHz);1.000000;20;0;0;false
47;100;100.000000;-76;34;12660;101.280000;0;false;false;100.000000;11 (2462 MHz);1.000000;20;0;0;false
48;100;100.000000;-76;34;12576;100.608000;0;false;false;100.000000;11 (2462 MHz);1.000000;20;0;0;false
49;100;100.000000;-76;34;12456;99.648000;0;false;false;100.000000;11 (2462 MHz);1.000000;20;0;0;false
50;100;100.000000;-76;34;12396;99.168000;0;false;false;100.000000;11 (2462 MHz);1.000000;20;0;0;false
51;100;100.000000;-76;34;12816;102.528000;0;false;false;100.000000;11 (2462 MHz);1.000000;20;0;0;false
52;100;100.000000;-76;34;12588;100.704000;0;false;false;100.000000;11 (2462 MHz);1.000000;20;0;0;false
53;100;100.000000;-81;29;12372;98.976000;0;false;false;100.000000;11 (2462 MHz);19.500000;20;0;0;false
54;100;100.000000;-80;30;12792;102.336000;0;false;false;100.000000;11 (2462 MHz);19.500000;20;0;0;false
55;100;100.000000;-80;30;12307;98.456000;0;false;false;100.000000;11 (2462 MHz);19.500000;20;0;0;false
56;100;100.000000;-80;30;12689;101.512000;0;false;false;100.000000;11 (2462 MHz);19.500000;20;0;0;false
57;100;100.000000;-80;30;12480;99.840000;0;false;false;100.000000;11 (2462 MHz);19.500000;20;0;0;false
58;100;100.000000;-80;30;12660;101.280000;0;false;false;100.000000;11 (2462 MHz);19.500000;20;0;0;false
59;100;100.000000;-80;30;12624;100.992000;0;false;false;100.000000;11 (2462 MHz);19.500000;20;0;0;false
60;100;100.000000;-80;30;12288;98.304000;0;false;false;100.000000;11 (2462 MHz);19.500000;20;0;0;false
61;100;100.000000;-80;30;12672;101.376000;0;false;false;100.000000;11 (2462 MHz);19.500000;20;0;0;false
62;100;100.000000;-80;30;12624;100.992000;0;false;false;100.000000;11 (2462 MHz);19.500000;20;0;0;false
63;100;100.000000;-80;30;4776;38.208000;0;false;false;100.000000;11 (2462 MHz);19.500000;20;0;0;false
