#PARAMETRY: 
Nazwa testu;ABCD
Data testu;2019-6-15_11:22:38
Protokol;UDP (0)
Rozmiar pakietu;1000
#POMIARY: 
No;zadana_przeplywnosc;polozenie;poziom_sygnalu;jakosc_linku;odebrane_pakiety;przeplywnosc;stracone_pakiety;flaga_zamiany;flaga_bledu;ber;kanal;przepustowosc_kanalu;szerokosc_kanalu;MCS;NSS;SGI
1;100;100.000000;-41;69;14760;118.080000;0;true;false;100.000000;44 (5220 MHz);351.000000;80;8;1;false
2;100;100.000000;-41;69;10992;87.936000;0;false;false;100.000000;44 (5220 MHz);351.000000;80;8;1;false
3;100;100.000000;-41;69;13356;106.848000;0;false;false;100.000000;44 (5220 MHz);351.000000;80;8;1;false
4;100;100.000000;-41;69;12756;102.048000;0;false;false;100.000000;44 (5220 MHz);351.000000;80;8;1;false
5;100;100.000000;-41;69;11952;95.616000;0;false;false;100.000000;44 (5220 MHz);351.000000;80;8;1;false
6;100;100.000000;-41;69;13116;104.928000;0;false;false;100.000000;44 (5220 MHz);351.000000;80;8;1;false
7;100;100.000000;-41;69;12394;99.152000;0;false;false;100.000000;44 (5220 MHz);351.000000;80;8;1;false
8;100;100.000000;-41;69;12458;99.664000;0;false;false;100.000000;44 (5220 MHz);351.000000;80;8;1;false
9;100;102.669000;-41;69;12648;101.184000;0;false;false;100.000000;44 (5220 MHz);351.000000;80;8;1;false
10;100;110.322750;-41;69;12684;101.472000;0;false;false;100.000000;44 (5220 MHz);351.000000;80;8;1;false
11;100;117.780250;-41;69;12444;99.552000;0;false;false;100.000000;44 (5220 MHz);351.000000;80;8;1;false
12;100;127.553500;-41;69;12636;101.088000;0;false;false;100.000000;44 (5220 MHz);351.000000;80;8;1;false
13;100;140.231250;-41;69;12420;99.360000;0;false;false;100.000000;44 (5220 MHz);351.000000;80;8;1;false
14;100;150.475500;-41;69;12516;100.128000;0;false;false;100.000000;44 (5220 MHz);351.000000;80;8;1;false
15;100;162.329000;-41;69;12782;102.256000;0;false;false;100.000000;44 (5220 MHz);351.000000;80;8;1;false
16;100;174.535750;-41;69;12406;99.248000;0;false;false;100.000000;44 (5220 MHz);351.000000;80;8;1;false
17;100;185.094000;-41;69;12660;101.280000;0;false;false;100.000000;44 (5220 MHz);351.000000;80;8;1;false
18;100;196.672750;-41;69;12660;101.280000;0;false;false;100.000000;44 (5220 MHz);351.000000;80;8;1;false
19;100;208.094500;-41;69;12372;98.976000;0;false;false;100.000000;44 (5220 MHz);351.000000;80;8;1;false
20;100;217.710750;-41;69;12684;101.472000;0;false;false;100.000000;44 (5220 MHz);351.000000;80;8;1;false
21;100;217.710750;-41;69;12528;100.224000;0;false;false;100.000000;44 (5220 MHz);351.000000;80;8;1;false
22;100;217.710750;-41;69;12648;101.184000;0;false;false;100.000000;44 (5220 MHz);351.000000;80;8;1;false
23;100;217.710750;-41;69;12516;100.128000;0;false;false;100.000000;44 (5220 MHz);351.000000;80;8;1;false
24;100;217.710750;-38;70;12561;100.488000;4;false;true;100.000000;44 (5220 MHz);351.000000;80;8;1;false
25;100;217.710750;-39;70;12552;100.416000;0;false;false;100.000000;44 (5220 MHz);351.000000;80;8;1;false
26;100;217.710750;-37;70;12564;100.512000;0;false;false;100.000000;44 (5220 MHz);351.000000;80;8;1;false
27;100;217.710750;-39;70;12528;100.224000;0;false;false;100.000000;44 (5220 MHz);351.000000;80;8;1;false
28;100;217.710750;-40;70;12684;101.472000;0;false;false;100.000000;44 (5220 MHz);351.000000;80;8;1;false
29;100;217.710750;-40;70;12372;98.976000;0;false;false;100.000000;44 (5220 MHz);351.000000;80;8;1;false
30;100;217.710750;-40;70;12492;99.936000;0;false;false;100.000000;44 (5220 MHz);351.000000;80;8;1;false
31;100;217.710750;-40;70;12468;99.744000;0;false;false;100.000000;44 (5220 MHz);351.000000;80;8;1;false
32;100;217.710750;-40;70;12552;100.416000;0;false;false;100.000000;44 (5220 MHz);351.000000;80;8;1;false
33;100;217.710750;-40;70;12852;102.816000;0;false;false;100.000000;44 (5220 MHz);351.000000;80;8;1;false
