#PARAMETRY: 
Nazwa testu;ABCD
Data testu;2019-6-15_11:39:9
Protokol;UDP (0)
Rozmiar pakietu;1000
#POMIARY: 
No;zadana_przeplywnosc;polozenie;poziom_sygnalu;jakosc_linku;odebrane_pakiety;przeplywnosc;stracone_pakiety;flaga_zamiany;flaga_bledu;ber;kanal;przepustowosc_kanalu;szerokosc_kanalu;MCS;NSS;SGI
1;200;488.697250;-39;70;29500;236.000000;0;true;false;100.000000;44 (5220 MHz);433.299988;80;9;1;true
2;200;488.697250;-39;70;22125;177.000000;0;false;false;100.000000;44 (5220 MHz);433.299988;80;9;1;true
3;200;488.697250;-39;70;26375;211.000000;0;false;false;100.000000;44 (5220 MHz);433.299988;80;9;1;true
4;200;488.697250;-39;70;25625;205.000000;0;false;false;100.000000;44 (5220 MHz);433.299988;80;9;1;true
5;200;488.697250;-39;70;24575;196.600000;0;false;false;100.000000;44 (5220 MHz);433.299988;80;9;1;true
6;200;488.697250;-39;70;24800;198.400000;0;false;false;100.000000;44 (5220 MHz);433.299988;80;9;1;true
7;200;488.697250;-39;70;25550;204.400000;0;false;false;100.000000;44 (5220 MHz);433.299988;80;9;1;true
8;200;488.697250;-39;70;25050;200.400000;0;false;false;100.000000;44 (5220 MHz);433.299988;80;9;1;true
9;200;488.697250;-39;70;24900;199.200000;0;false;false;100.000000;44 (5220 MHz);433.299988;80;9;1;true
10;200;488.697250;-39;70;25050;200.400000;0;false;false;100.000000;44 (5220 MHz);433.299988;80;9;1;true
11;200;488.697250;-39;70;25025;200.200000;0;false;false;100.000000;44 (5220 MHz);433.299988;80;9;1;true
12;200;488.697250;-39;70;25500;204.000000;0;false;false;100.000000;44 (5220 MHz);433.299988;80;9;1;true
13;200;488.697250;-39;70;24550;196.400000;0;false;false;100.000000;44 (5220 MHz);433.299988;80;9;1;true
14;200;488.697250;-39;70;25211;201.688000;0;false;false;100.000000;44 (5220 MHz);433.299988;80;9;1;true
15;200;488.697250;-39;70;25464;203.712000;0;false;false;100.000000;44 (5220 MHz);433.299988;80;9;1;true
