#PARAMETRY: 
Nazwa testu;ABCD
Data testu;2019-6-15_12:7:4
Protokol;UDP (0)
Rozmiar pakietu;1000
#POMIARY: 
No;zadana_przeplywnosc;polozenie;poziom_sygnalu;jakosc_linku;odebrane_pakiety;przeplywnosc;stracone_pakiety;flaga_zamiany;flaga_bledu;ber;kanal;przepustowosc_kanalu;szerokosc_kanalu;MCS;NSS;SGI
1;100;10.000000;-43;67;14928;119.424000;11;false;true;100.000000;44 (5220 MHz);117.000000;80;3;1;false
2;100;10.000000;-43;67;11040;88.320000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
3;100;10.000000;-43;67;13128;105.024000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
4;100;10.000000;-43;67;12900;103.200000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
5;100;10.000000;-43;67;12144;97.152000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
6;100;10.000000;-43;67;12732;101.856000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
7;100;10.000000;-43;67;12624;100.992000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
8;100;10.000000;-43;67;12372;98.976000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
9;100;10.000000;-43;67;12576;100.608000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
10;100;10.000000;-43;67;12708;101.664000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
11;100;10.000000;-43;67;12537;100.296000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
12;100;10.000000;-43;67;12423;99.384000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
13;100;10.235500;-43;67;12708;101.664000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
14;100;17.300500;-41;69;12504;100.032000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
15;100;17.300500;-42;68;12588;100.704000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
16;100;17.300500;-43;67;12468;99.744000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
17;100;17.300500;-41;69;12667;101.336000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
18;100;17.300500;-42;68;12473;99.784000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
19;100;17.300500;-42;68;12588;100.704000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
20;100;17.300500;-42;68;12564;100.512000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
21;100;17.300500;-42;68;12564;100.512000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
22;100;17.300500;-42;68;12612;100.896000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
23;100;17.300500;-42;68;12564;100.512000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
24;100;17.300500;-42;68;12540;100.320000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
25;100;17.300500;-28;70;12396;99.168000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
26;100;17.300500;-29;70;12768;102.144000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
27;100;17.300500;-29;70;12660;101.280000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
28;100;17.300500;-29;70;12264;98.112000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
29;100;17.300500;-29;70;12576;100.608000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
30;100;17.300500;-29;70;12588;100.704000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
31;100;17.300500;-29;70;12564;100.512000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
32;100;17.300500;-29;70;12495;99.960000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
33;100;17.300500;-29;70;12537;100.296000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
34;100;17.300500;-29;70;12564;100.512000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
35;100;17.300500;-29;70;12480;99.840000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
36;100;17.300500;-29;70;12744;101.952000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
37;100;17.300500;-29;70;12468;99.744000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
38;100;17.300500;-29;70;12444;99.552000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
39;100;17.300500;-29;70;12660;101.280000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
40;100;17.300500;-29;70;12600;100.800000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
41;100;17.300500;-29;70;12564;100.512000;0;false;false;100.000000;44 (5220 MHz);117.000000;80;3;1;false
